COUNTY,DISTRICT,MFL No.,FACILITY,CATEGORY,"OWNER(GoK, CHAK, KEC, SUPKEM)", DRAWING RIGHTS ALLOCATION FOR 2012-13 FY 
NYANDARUA,NYANDARUA NORTH,10473,KANJUIRI H/C,Health Centre,GOK,174705.00
,,10657,LESHAU PONDO H/C,Health Centre,GOK,335866.00
,,10671,MAINA & MWANGI H/C,Health Centre,GOK,270150.00
,,10732,MIRANGINE H/C,Health Centre,GOK,617408.00
,,10829,NDARAGWA H/C,Health Centre,GOK,805706.00
,,10856,NGANO H/C,Health Centre,GOK,522844.00
,,10043,BAARI H/C,Health Centre,GOK,451211.00
,,10189,G.K. PRISONS DISP,Dispensary,GOK,330878.00
,,10419,KAHEMBE DISP,Dispensary,GOK,410383.00
,,10429,KAIMBAGA DISP,Dispensary,GOK,220325.00
,,10509,KASUKU H/C,Health Centre,GOK,655889.00
,,10630,KIRIMA DISP,Dispensary,GOK,230495.00
,,10634,KIRIOGO DISP,Dispensary,GOK,438009.00
,,10672,MAINA VILLAGE DISP.,Dispensary,GOK,618533.00
,,10756,MUKINDU DISP,Dispensary,GOK,221547.00
,,10834,NDIVAI DISP,Dispensary,GOK,189667.00
,,10851,NEW MAWINGU H/C,Health Centre,GOK,341000.00
,,10852,NEW TUMAINI H/C,Health Centre,GOK,436591.00
,,10871,NGORIKA H/C,Health Centre,GOK,510473.00
,,10911,OL-BORASAT DISP,Dispensary,GOK,373369.00
,,10931,PESI DISP,Dispensary,GOK,395763.00
,,11004,SHAMATA DISP,Dispensary,GOK,640340.00
,,11009,SIlIBWET H/C,Health Centre,GOK,525679.00
,,11076,SUBUKU DISP,Dispensary,GOK,581567.00
,,11139,URUKU DISP,Dispensary,GOK,343885.00
,,10979,ACK RURII DISP,Dispensary,CHAK,265016.00
,,10914,OL JORO OROK CATHOLIC DISP,Dispensary,KEC,83123.00
,,10927,PASSENGA CATHOLIC DISP,Dispensary,KEC,157445.00
,,11059,ST MATHEW & SARAH DISP,Dispensary,KEC,477370.00
,,11114,ACK NYANDARUA DISP,Dispensary,CHAK,221987.00
,,10320,HOLY FAMILY DISP,Dispensary,KEC,130650.00
,,10889,NYAHURURU CATHOLIC DISP,Dispensary,KEC,1594201.00
,,17374,SHAURI H/C,Health Centre,GOK,200669.00
,,17375,SHAROM DISP,Dispensary,GOK,265016.00
,,18480,MBUYU DISP,Dispensary,GOK,169815.00
NYANDARUA,NYANDARUA SOUTH,10832,NDEMI   H/C,Health Centre,GOK,518149.00
,,11173,WANJOHI H/C,Health Centre,GOK,884595.00
,,10244,GETABUSH H/C,Health Centre,GOK,897261.00
,,10681,MANUNGA H/C,Health Centre,GOK,885908.00
,,10786,MURUNGARU  H/C,Health Centre,GOK,774770.00
,,11183,WERU  H/C,Health Centre,GOK,343455.00
,,10312,HENI H/C,Health Centre,GOK,390295.00
,,10481,KARANGATHA H/C,Health Centre,GOK,613939.00
,,10044,BAMBOO H/C,Health Centre,GOK,960075.00
,,10878,NJABINI H/C,Health Centre,GOK,1233641.00
,,10812,OLD MAWINGU H/C,Health Centre,GOK,404215.00
,,10215,GATHARA DISP,Dispensary,GOK,261528.00
,,10223,GATONDO DISP,Dispensary,GOK,125629.00
,,10245,GETA FOREST DISP,Dispensary,GOK,182738.00
,,10513,KENTON GITWE DISP,Dispensary,GOK,179144.00
,,10537,KIAMBOGO DISP,Dispensary,GOK,72685.00
,,17555,LERESHWA DISP,Dispensary,GOK,191011.00
,,10758,MUKUNGI DISP,Dispensary,GOK,92539.00
,,16807,MUNYAKA DISP,Dispensary,GOK,117984.00
,,10788,MUTARAKWA DISP,Dispensary,GOK,561451.00
,,10820,NANDARAS DISP,Dispensary,GOK,375518.00
,,10840,NDUNYU-NJERU,Dispensary,GOK,80273.00
,,10984,RWANYAMBO DISP,Dispensary,GOK,57509.00
,,11126,TURASHA DISP,Dispensary,GOK,288342.00
,,10731,MIKARO DISP,Dispensary,GOK,167334.00
,,10755,AIC MUKEO DISP,Dispensary,CHAK,216742.00
,,17560,NJABINI CATHOLIC DISP,Dispensary,KEC,77990.00
,,17499,KWABEKENYA DISP,Dispensary,GOK,95277.00
NYERI,NYERI NORTH,10055,BELLEVUE HC,Health Centre,GOK,434607.00
,,10170,ENDARASHA HC ,Health Centre,GOK,549993.00
,,10809,MWEIGA H/C,Health Centre,GOK,350050.00
,,10822,NARUMORU HC,Health Centre,GOK,955266.00
,,10870,NGORANO HC,Health Centre,GOK,508887.00
,,11176,WARAZO HC,Health Centre,GOK,708880.00
,,10027,AMBONI DISP,Dispensary,GOK,240500.00
,,10076,BURGURET DISP,Dispensary,GOK,278863.00
,,10166,EMBARINGO DISP,Dispensary,GOK,177095.00
,,10200,GAKAWA DISP,Dispensary,GOK,505744.00
,,10210,GATEI DISP,Dispensary,GOK,497563.00
,,10220,GATINA DISP,Dispensary,GOK,74679.00
,,10224,GATONDO DISP,Dispensary,GOK,216206.00
,,10355,ISLAND FARM DISP,Dispensary,GOK,310889.00
,,10360,ITIATI DISP,Dispensary,GOK,293529.00
,,10361,ITUNDU DISP,Dispensary,GOK,228378.00
,,10389,KABATI DISP ,Dispensary,GOK,252273.00
,,10427,KAHURU DISP,Dispensary,GOK,494969.00
,,10435,KAIYABA DISP,Dispensary,GOK,276917.00
,,10447,KAMBURAINI DISP,Dispensary,GOK,133345.00
,,16818,KANGOCHO DISP ,Dispensary,GOK,252872.00
,,10490,KAREMENO DISP,Dispensary,GOK,381328.00
,,10530,KIAMABARA H/C,Health Centre,GOK,804760.00
,,10536,KIAMATHAGA DISP,Dispensary,GOK,411659.00
,,17571,KIARITHAINI DISP,Dispensary,GOK,358979.00
,,10653,LAMURIA DISP ,Dispensary,GOK,192510.00
,,10722,MERE DISP,Dispensary,GOK,129304.00
,,10749,MUGUNDA DISP,Dispensary,GOK,182333.00
,,10780,MURERU DISP,Dispensary,GOK,289339.00
,,10830,NDATHI DISP ,Dispensary,GOK,188270.00
,,10833,NDIMAINI DISP,Dispensary,GOK,561666.00
,,16819,NGURUMO DISP,Dispensary,GOK,147513.00
,,11158,WAKAMATA DISP,Dispensary,GOK,267638.00
,,11178,WATUKA HC,Health Centre,GOK,244491.00
,,11182,WENDIGA DISP,Dispensary,GOK,98275.00
,,10247,GIAKABEI CATHOLIC DISP,Dispensary,KEC,128855.00
,,10484,KARATINA CATHOLIC DISP,Dispensary,KEC,389510.00
