COUNTY,DISTRICT,MFL No.,FACILITY,CATEGORY,"OWNER(GoK, CHAK, KEC, SUPKEM)", DRAWING RIGHTS ALLOCATION FOR 2012-13 FY 
NAIROBI,NAIROBI WEST,13028,KIBERA AMREF ,Health Centre,AMREF,251112.00
,,13030,KIBERA SOUTH,Health Centre,MSF Belgium,1092433.00
,,13041,LANGATA ,Health Centre,Local Authority,2057024.00
,,12961,G.S.U ,Dispensary,MOH,162297.00
,,13003,Karen ,Health Centre,Local Authority,2009110.00
,,13044,Langata women Prison,Health Centre,MOH,606806.00
,,13029,KIBERA D.O ,Health Centre,MOH,991466.00
,,13116,NAIROBI WEST MENS PRISON,Dispensary,MOH,309784.00
,,13239,UHURU CAMP,Dispensary,MOH,1004359.00
,,13258,Westlands ,Health Centre,Local Authority,2440595.00
,,13001,Kangemi ,Health Centre,Local Authority,2620707.00
,,13052,Lower Kabete ,Dispensary,MOH,524568.00
,,13009,Karura ,Dispensary,Local Authority,578057.00
,,13093,Mji wa Huruma ,Dispensary,Local Authority,509105.00
,,13005,Kari (Muguga) ,Dispensary,MOH,454440.00
,,12968,Highridge ,Health Centre,Local Authority,168787.00
,,12993,Kabete Approved ,Dispensary,MOH,687257.00
,,13231,State House clinic,Dispensary,MOH,135639.00
,,13249,Waithaka ,Health Centre,Local Authority,2025401.00
,,13123,Ngong Road ,Health Centre,Local Authority,1213437.00
,,13165,Riruta ,Health Centre,Local Authority,3413026.00
,,13146,Wilson Airport dispensary,Dispensary,MOH,232077.00
,,13232,State House disp,Dispensary,MOH,224759.00
,,13195,St. Angela dispensary,Dispensary,CHAK,273152.00
,,13036,Kivuli Catholic Dispensary,Dispensary,CHAK,541774.00
,,13244,Lavington Urafiki mission dispensary,Dispensary,CHAK,389495.00
,,13061,Maria Dominica Dispensary,Dispensary,CHAK,507232.00
,,13129,Nyina wa Mumbi Catholic dispensary,Dispensary,CHAK,346721.00
,,13135,Riruta Orthodox dispensary,Dispensary,KEC,297719.00
,,13210,St. Joseph Ngando Catholic dispensary,Dispensary,CHAK,268578.00
,,13209,St. Joseph the worker Catholic dispensary,Dispensary,CHAK,323461.00
,,13221,St. Odilias Catholic dispensary,Dispensary,CHAK,411884.00
,,12909,Dagoretti Approved dispensary,Dispensary,MOH,320499.00
,NAIROBI EAST,12988,Jericho,Health Centre,Local Authority,3084060.00
,,12998,Kaloleni,Health Centre,Local Authority,1097366.00
,,13051,Loco,Health Centre,MOH,1161186.00
,,13053,Lunga lunga,Health Centre,Local Authority,1845133.00
,,13056,Makadara,Health Centre,Local Authority,2442659.00
,,17405,Nairobi Remand,Health Centre,MOH,1997487.00
,,13168,Railway Training Inst,Dispensary,MOH,297707.00
,,12913,Dandora I,Health Centre,Local Authority,2700596.00
,,12912,Dandora II ,Health Centre,Local Authority,2506400.00
,,13126,Njiru ,Dispensary,Local Authority,1694188.00
,,13171,Ruai ,Health Centre,Local Authority,1096584.00
,,13016,Kayole II ,Health Centre,Local Authority,2378448.00
,,13015,Kayole I ,Health Centre,Local Authority,1568074.00
,,13240,Umoja ,Health Centre,Local Authority,1923930.00
,,12935,Embakasi ,Health Centre,Local Authority,2726874.00
,,12871,APTC ,Health Centre,MOH,876736.00
,,12962,GSU Training School,Dispensary,MOH,162990.00
,,12991,Port Health Services-JKIA,Health Centre,MOH,204285.00
,,13097,MOW disp,Dispensary,MOH,178045.00
,,13144,South B Police band dispensary,Dispensary,MOH,279288.00
,,13161,GK Prison Nairobi Remand H/C,Health Centre,MOH,2294842.00
,,13101,Mukuru kwa Njenga disp,Dispensary,KEC,1515556.00
,,13017,Soweto Kayole mission disp,Dispensary,CHAK,1053021.00
,,13150,Altowa Korogocho Supkem disp,Dispensary,SUPKEM,925773.00
,,17434,Kariobangi South Dispensary,Dispensary,Local Authority,692316.00
,NAIROBI NORTH,12997,Kahawa West ,Health Centre,Local Authority,2518252.00
,,13077,Mathare North ,Health Centre,Local Authority,3007399.00
,,13006,Kariobangi ,Health Centre,Local Authority,2268628.00
,,12876,Baba Dogo,Health Centre,Local Authority,3429285.00
,,13000,Kamiti Prison Hosp,Hospital,MOH,1614989.00
,,12961,G.S.U HQ ,Dispensary,MOH,1095540.00
,,13130,N.Y.S HQ,Health Centre,MOH,478640.00
,,13153,P.S.T.C ,Health Centre,MOH,925906.00
,,12996,KAHAWA GARRISON ,Health Centre,MOH,83282.00
,,12974,HURUMA LIONS,Dispensary,Local Authority,5854080.00
,,13121,NGAIRA ,Dispensary,Local Authority,1479873.00
,,13243,UPENDO,CLINIC,MOH,285549.00
,,13193,STC CASINO ,Health Centre,Local Authority,1380312.00
,,13122,NGARA ,Health Centre,Local Authority,1530671.00
,,13138,PANGANI ,Dispensary,Local Authority,801963.00
,,13078,MATHARE POLICE DEPOT,Dispensary,MOH,280739.00
,,12879,BAHATI,Health Centre,Local Authority,817909.00
,,12930,EASTLEIGH,Health Centre ,Local Authority,850652.00
,,13155,PUMWANI MAJENGO,Health Centre ,Local Authority,1313087.00
,,12883,Biafra Supkem disp,Dispensary,SUPKEM,351664.00
,,13154,Maratib Pumwani Supkem disp,Dispensary,SUPKEM,268049.00
,,12900,Pangani Supkem dispensary,Dispensary,SUPKEM,323656.00
,,13246,Uzima Catholic dispensary,Dispensary,CHAK,404126.00
,,13072,Mary Immaculate disp,Dispensary,CHAK,300496.00
,,12963,GSU Ruaraka disp,Dispensary,MOH,277113.00
,,13010,Kasarani h/c,Health Centre,Local Authority,1204795.00
,,13039,Lagos road disp,Dispensary,Local Authority,1866722.00
,,13077,MATHARE North H/C,Health Centre,Local Authority,3050835.00
,,13160,Redeemed H/C,Health Centre,KEC,462694.00
,,13208,St. Joseph Mukasa catholic disp,Dispensary,CHAK,341859.00
,,13225,St. Theresa catholic disp,Dispensary,CHAK,686049.00
,,13199,St. Brigit Catholic disp,Dispensary,CHAK,337420.00
,,13203,St. Francis H/C,Health Centre,CHAK,530548.00
,,13071,Marurui Dispensary,Dispensary,KEC,312113.00
