COUNTY,DISTRICT,MFL No.,FACILITY,CATEGORY,"OWNER(GoK, CHAK, KEC, SUPKEM)", DRAWING RIGHTS ALLOCATION FOR 2012-13 FY 
GARISSA,GARISSA,17009,Abdisamad Dispensary,Dispensary,GOK,216700.00
,,13275,Al-Faruq Dispensary,Dispensary,SUPKEM,650772.00
,,13299,Balich Dispensary,Dispensary,GOK,148673.00
,,13311,Bour-algy Dispensary,Dispensary,GOK,268631.00
,,17011,Bulla Mzuri Dispensary,Dispensary,GOK,458131.00
,,13319,Daley Dispensary,Dispensary,GOK,99489.00
,,13324,Danyere Health Centre,Health Centre,GOK,154729.00
,,13331,Dujis Health Centre,Health Centre,GOK,289101.00
,,16287,Garissa Teacher Training College Dispensary,Dispensary,GOK,367784.00
,,13350,GK Prison Dispensary (Garissa),Dispensary,GOK,986757.00
,,13376,Jarajara Dispensary,Dispensary,GOK,280633.00
,,13382,Korakora Health Centre,Health Centre,GOK,425716.00
,,17010,Kuno Dispensary,Dispensary,GOK,428913.00
,,16288,Libahlow Nomadic Clinic,Dispensary,GOK,224495.00
,,13408,Medina Health Centre,Health Centre,GOK,611963.00
,,13420,Police Line Dispensary (Garissa),Dispensary,GOK,986757.00
,,13422,Raya Dispensary,Dispensary,GOK,274800.00
,,13430,Saka Health Centre,Health Centre,GOK,535692.00
,,13433,Sankuri Health Centre,Health Centre,GOK,382701.00
,,13443,Shimbrey Dispensary,Dispensary,GOK,168357.00
,,13442,Simaho Maternity Home,Nursing Home,CBO,475180.00
,,13448,Utawala Dispensary,Dispensary,GOK,399806.00
,,13458,Young Muslim Dispensary,Dispensary,SUPKEM,462169.00
,IJARA,13370,IJARA H/C,Health Centre,GOK,529970.00
,,13431,SANGUILU H/C,Health Centre,GOK,781284.00
,,13385,KOTILE H/C,Health Centre,GOK,1096561.00
,,13361,HARA H/C,Health Centre,GOK,492954.00
,,13383,KORISA DISP,Dispensary,GOK,262369.00
,,13308,BODHAI DISP,Dispensary,GOK,368087.00
,,13360,HANDARO DISP,Dispensary,GOK,209757.00
,,13426,RUQA DISP,Dispensary,GOK,213409.00
