COUNTY,DISTRICT,MFL No.,FACILITY,CATEGORY,"OWNER(GoK, CHAK, KEC, SUPKEM)", DRAWING RIGHTS ALLOCATION FOR 2012-13 FY 
SIAYA,BONDO,13482,Anyuongi Dispensary,Dispensary,GoK,333780.00
,,13485,Aro (SDA) Dispensary,Dispensary,CHAK,154175.00
,,13581,Gobei Dispensary,Health Centre,GoK,741818.00
,,13590,Got Matar Dispensary ,Health Centre,GoK,617617.00
,,13651,Kambajo Dispensary   ,Dispensary,GoK,487556.00
,,13655,Kapiyo Dispensary,Health Centre,GoK,422227.00
,,13743,Mabinju Dispensary ,Dispensary,GoK,522274.00
,,13750,Mageta Dispensary ,Health Centre,GoK,213445.00
,,13796,Mawere Dispensary ,Dispensary,GoK,343346.00
,,13839,Ndeda Dispensary ,Dispensary,GoK,133209.00
,,13877,Nyaguda Dispensary ,Dispensary,GoK,298266.00
,,13929,Nyang'oma Mission Health Centre,Health Centre,KEC,426413.00
,,13948,Nyenye Misori Dispensary ,Dispensary,GoK,223689.00
,,13961,Ogam Dispensary ,Dispensary,GoK,537819.00
,,14000,Othach Dispensary ,Dispensary,GoK,169561.00
,,14005,Ouya Dispensary ,Dispensary,GoK,281007.00
,,14007,Oyamo Dispensary ,Dispensary,GoK,134405.00
,,14023,Radier Dispensary ,Dispensary,GoK,367262.00
,,14077,Serawongo Dispensary ,Dispensary,GoK,315804.00
,,14158,Ulungo Dispensary ,Dispensary,GoK,849437.00
,,14163,Usenge Dispensary ,Health Centre,GoK,547943.00
,,14164,Usigu Dispensary ,Health Centre,GoK,1680539.00
,,14165,Uyawi Dispensary ,Dispensary,GoK,849437.00
,SIAYA,13471,Akala Health Centre,Health Centre,GoK,1018648.00
,,16783,Asayi Dispensary,Dispensary,GoK,310250.00
,,13495,Bar Achuth Dispensary ,Dispensary,GoK,282334.00
,,13496,Bar Agulu Dispensary ,Dispensary,GoK,608523.00
,,16784,Bar Ndege Dispensary,Dispensary,GoK,421869.00
,,13499,Bar Olengo Dispensary ,Dispensary,GoK,423221.00
,,16785,Bar-Sauri Dispensry,Dispensary,GoK,804125.00
,,13513,Boro Dispensary,Dispensary,GoK,417489.00
,,13533,Dienya Health Centre,Health Centre,GoK,337468.00
,,17516,Gongo Health Centre,Health Centre,GoK,337468.00
,,17520,Got regea Dispensary,Dispensary,GoK,153657.00
,,13600,Hawinga Health Centre,Health Centre,GoK,321482.00
,,13634,Jera Dispensary ,Dispensary,GoK,313419.00
,,17531,Kabura Dispensary,Dispensary,GoK,175422.00
,,13641,Kadenge Ratuoro Health Centre,Health Centre,GoK,317008.00
,,13648,Kaluo Dispensary ,Dispensary,GoK,384772.00
,,17527,Kambare Dispensary,Dispensary,GoK,96892.00
,,17533,Karuoth Dispensary,Dispensary,GoK,213358.00
,,13710,Kogelo Dispensary ,Dispensary,GoK,398008.00
,,17525,Lidha Dispensary,Dispensary,GoK,163398.00
,,13735,Ligega Health Centre,Health Centre,GoK,388407.00
,,17512,Lihanda Health Centre,Health Centre,GoK,274737.00
,,13760,Malanga Health Centre,Health Centre,GoK,411011.00
,,13773,Marenyo Health Centre,Health Centre,GoK,1074621.00
,,17518,Masogo Dispensary(Siaya),Dispensary,GoK,356249.00
,,16787,Masumbi Dispensary,Dispensary,GoK,252926.00
,,13797,Mbaga Health Centre,Health Centre,GoK,111712.00
,,13803,Midhine Dispensary ,Dispensary,GoK,609641.00
,,13834,Mulaha Dispensary ,Dispensary,GoK,486651.00
,,17523,Mur Malanga Dispensary,Dispensary,GoK,609641.00
,,16788,Mwer Dispensary,Dispensary,GoK,352708.00
,,13840,Ndere Health Centre,Health Centre,GoK,671067.00
,,17526,Nguge Dispensary,Dispensary,GoK,131892.00
,,17535,Nyadhi Dispensary,Dispensary,GoK,157898.00
,,13904,Nyambare Dispensary ,Dispensary,GoK,256981.00
,,13930,Nyangu Dispensary ,Dispensary,GoK,246261.00
,,13944,Nyathengo Dispensary ,Dispensary,GoK,404253.00
,,13947,Nyawara Health Centre,Health Centre,GoK,667618.00
,,17515,Oding Dispensary,Dispensary,GoK,175375.00
,,13966,Ogero Dispensary ,Dispensary,GoK,294358.00
,,14018,Rabar Dispensary ,Dispensary,GoK,351449.00
,,16789,Rambula Dispensary,Dispensary,GoK,194157.00
,,14030,Ramula Health Centre,Health Centre,GoK,539734.00
,,17521,Randago Dispensary,Dispensary,GoK,255676.00
,,14042,Rera Dispensary ,Dispensary,GoK,231348.00
,,14063,Rwambwa Health Centre,Health Centre,GoK,231348.00
,,14072,Sega Dispensary ,Dispensary,GoK,332388.00
,,16790,Segere Dispensary ,Dispensary,GoK,184370.00
,,14123,Siaya St. Paul Dispensary,Dispensary,KEC,278559.00
,,14084,Sifuyo Dispensary ,Dispensary,GoK,334578.00
,,14085,Sigomre Health Centre,Health Centre,GoK,696374.00
,,14087,Sikalame Dispensary ,Dispensary,GoK,286016.00
,,14091,Simenya Dispensary ,Dispensary,GoK,558003.00
,,14093,Sirembe Dispensary ,Dispensary,GoK,234517.00
,,14133,Sumba Community Dispensary ,Dispensary,GoK,329964.00
,,14147,Tingare Dispensary ,Dispensary,GoK,569934.00
,,14148,Ting'wangi Health Centre,Health Centre,GoK,295663.00
