COUNTY,DISTRICT,MFL No.,FACILITY,CATEGORY,"OWNER(GoK, CHAK, KEC, SUPKEM)", DRAWING RIGHTS ALLOCATION FOR 2012-13 FY 
KAJIADO,LOITOKITOK,14868,Kimana Health Centre,Health centre,GOK,1042353.00
,,14467,Entarara Health Centre,Health centre,GOK,590279.00
,,15296,Namelok Health Centre,Health centre,GOK,550222.00
,,14573,Immurtot Health Centre,Health centre,GOK,603407.00
,,14569,Iltilal Health Centre,Health centre,GOK,271216.00
,,15402,Olgulului Health Centre,Health centre,GOK,127673.00
,,14581,Isinet Dispensary,Dispensary,GOK,324112.00
,,17053,Ilchallai Dispensary,Dispensary,GOK,147774.00
,,15435,Oltiasika Dispensary,Dispensary,GOK,105553.00
,,15426,Olorika Dispensary,Dispensary,GOK,208509.00
,,15012,Langata Enkima Dispensary,Dispensary,GOK,148447.00
,,14200,Amboseli Dispensary,Dispensary,GOK,200238.00
,,15361,Nkama Dispensary,Dispensary,GOK,651879.00
,,14450,Emumwenyi Dispensary,Dispensary,GOK,365372.00
,,15359,Njukini Disp,Dispensary,GOK,319207.00
,,17671,Oldoinyo oibor Disp,Dispensary,GOK ,127770.00
,KAJIADO (BOTH ,14259,Bissil  H/C.,Health Centre,GoK,614987.00
,CENTRAL &,14441,Emaroro Disp.,Dispensary,GoK,96092.00
,NORTH),14448,Emotoroki,Dispensary,GoK,117507.00
,,14451,Emurua Dikir,Dispensary,GoK,100668.00
,,14463,Enkorika H/C.,Health Centre,GoK,192733.00
,,14565,Ilkilunyeti Disp.,Dispensary,GoK,103230.00
,,14650,AIC Kjiado,Dispensary,CHAK,628715.00
,,14957,KMQ Disp.,Dispensary,GoK,139333.00
,,15000,Kumpa CMF,Dispensary,CHAK,197125.00
,,15087,Lorngusua Disp.,Dispensary,GoK,100668.00
,,15095,Ilmukutani,Health Centre,GoK,100668.00
,,15109,Mailwa  Disp.,Dispensary,GoK,115310.00
,,15122,Maparasha Disp.,Dispensary,GoK,127939.00
