COUNTY,DISTRICT,MFL No.,FACILITY,CATEGORY,"OWNER(GoK, CHAK, KEC, SUPKEM)", DRAWING RIGHTS ALLOCATION FOR 2012-13 FY 
KAKAMEGA,KAKAMEGA NORTH,15859.00,Chombeli Health Centre,Health Centre,GOK,1240052.00
,,15959.00,Kuvasali Health Centre,Health Centre,GOK,459424.00
,,16122.00,Shivanga Health Centre,Health Centre,GOK,473337.00
,,15901.00,Imbiakalo Dispensary,Dispensary,GOK,466078.00
,,16105.00,Shamberere Dispensary,Dispensary,GOK,777149.00
,,15949.00,Kimang’et Dispensary,Dispensary,GOK,638475.00
,,16109.00,Shihome Dispensary,Dispensary,GOK,488081.00
,,15858.00,Chimoi Dispensary,Dispensary,KEC,874388.00
,,16064.00,Namagara Dispensary,Dispensary,GOK,503128.00
,,15997.00,Malekha Dispensary,Dispensary,GOK,579195.00
,DISTRICT DRAWING RIGHTS ALLOCATION,,,,,6499307.00
KAKAMEGA,KAKAMEGA CENTRAL,15801.00,KAKAMEGA AP LINE DISPENSARY,Dispensary,GoK,1110436.00
,,15892.00,GK PRISON KAKAMEGA,Dispensary,GoK,255658.00
,,15804.00,APPROVED SCHOOL DISPENSARY,Dispensary,GoK,846616.00
,,16059.00,NABONGO DISPENSARY,Dispensary,GoK,701364.00
,,15874.00,ELWESERO DISPENSARY,Dispensary,GoK,800583.00
,,16867.00,EMATIHA DISPENSARY,Dispensary,GoK,545200.00
,,15833.00,BUSHIRI HEALTH CENTRE ,Health Centre,GoK,2265438.00
,,15902.00,INGOTSE DISPENSARY ,Dispensary,CHAK,195137.00
,,15883.00,ESHIONGO DISPENSARY,Dispensary,GoK,416958.00
,,16763.00,ESHISIRU CATHOLIC DISPENSARY,Dispensary, KEC,228928.00
,,15882.00,ESHIKHUYU DISPENSARY,Dispensary,GoK,387798.00
,,17133.00,ESHIREMBE DISPENSARY,Dispensary,GoK,403066.00
,,15820.00,BUKURA HEALTH CENTRE,Health Centre,GoK,1322629.00
,,16006.00,MATIOLI DISPENSARY,Dispensary,GoK,341122.00
,,15872.00,ELUKHAMBI DISPENSARY,Dispensary,GoK,277208.00
,,16762.00,EMUSANDA DISPENSARY,Dispensary,GoK,1161238.00
,,15934.00,KHARANDA DISPENSARY,Dispensary,GoK,670553.00
,,15978.00,LUTASO DISPENSARY,Dispensary,CHAK,164188.00
,,16147.00,SIVILIE DIPENSARY,Dispensary,GoK,55478.00
,,15810.00,BUCHANGU DISPENSARY,Dispensary,GoK,436490.00
,,15812.00,BUDONGA DISPENSARY,Dispensary,GoK,697742.00
,DISTRICT DRAWING RIGHTS ALLOCATION,,,,,13283831.00
KAKAMEGA,KAKAMEGA SOUTH,15945.00,Kilingili H/Centre,Health Centre,GoK,1295998.00
,,16119.00,Shiseso H/centre,Health Centre,GoK,911037.00
,,16101.00,Savane Dispensary,Dispensary,GoK,752906.00
,,16108.00,Shihalia Dispensary,Dispensary,GoK,643092.00
,,16481.00,Imulama Dispensary,Dispensary,GoK,660107.00
,,16484.00,Imalaba Dispensary,Dispensary,GoK,516727.00
,,15881.00,Eregi Mission H/c,Health Centre,CHAK,396749.00
,,16145.00,St Pius Musoli H/C,Health Centre,CHAK,233973.00
,,15832.00,Bushiangala H/C,Health Centre,CHAK,577122.00
,,16483.00,Shikumu Dispensary,Dispensary,GoK,96806.00
