,Service Point Name,District ,Province
1,Gatundu District Hospital,Gatundu,Central
2,Kiambu District Hospital,Kiambu East,Central
3,Kijabe (AIC) Mission Hospital,Kiambu West - Kabete,Central
4,Nazareth Hospital,Kiambu West - Kabete,Central
5,PCEA Kikuyu Hospital,Kiambu West - Kabete,Central
6,Tigoni District Hospital - Kiambu West,Kiambu West - Kabete,Central
7,Kerugoya District Hospital - Kirinyaga,Kirinyaga South,Central
8,Our Lady of Lourdes Mwea  Mission Hospital,Kirinyaga South,Central
9,Maragua District Hospital - Muranga South,Maragua,Central
10,Muranga District Hospital - Muranga North,Muranga North,Central
11,Nyahururu District Hospital - Nyandarua,Nyandarua North,Central
12,North Kinagop Mission (Catholic) Hospital,Nyandarua South,Central
13,Karatina District Hospital - Nyeri North,Nyeri North - Kieni East,Central
14,Mugunda Catholic Dispensary ( Mugunda Mission Hospital),Nyeri North - Kieni East,Central
15,Naro Moru Health Centre,Nyeri North - Kieni East,Central
16,Tumutumu (PCEA) Hospital,Nyeri North - Kieni East,Central
17,Consolata Mathari Hospital,Nyeri South,Central
18,Nyeri Provincial General Hospital,Nyeri South,Central
19,JKUAT Hospital,Thika East,Central
20,St. Mathias Mulumba Mission Hospital,Thika East,Central
21,Thika District Hospital,Thika East,Central
22,Kilifi District Hospital,Kilifi,Coast
23,Zion Community Clinic,Kilifi,Coast
24,Bomu Medical Centre (Likoni),Kilindini,Coast
25,Bomu Medical Health Centre (Changamwe),Kilindini,Coast
26,Kenya Navy (M.I.R) Hospital,Kilindini,Coast
27,Kenya Ports Authority (KPA) Health Centre,Kilindini,Coast
28,Mikindani Catholic Clinic,Kilindini,Coast
29,Mtongwe Dispensary,Kilindini,Coast
30,Port Reitz District Hospital  - Kilindini,Kilindini,Coast
31,Kwale District Hospital,Kwale,Coast
32,Little Daughters of St. Joseph Malindi,Malindi,Coast
33,Malindi District Hospital,Malindi,Coast
34,Coast General Provincial Hospital,Mombasa,Coast
35,Mewa Hospital,Mombasa,Coast
36,Moi Voi District Hospital,Taita,Coast
37,St. Joseph Shelter of Hope,Taita,Coast
38,Embu Provincial General Hospital,Embu West,Eastern
39,Meru District Hospital - Imenti North,Imenti North,Eastern
40,Consolata Nkubu Mission Hospital,Imenti South,Eastern
41,Isiolo District Hospital,Isiolo,Eastern
42,Kangundo District Hospital,Kangundo,Eastern
43,Makindu District Hospital - Kibwezi,Kibwezi,Eastern
44,Kitui District Hospital,Kitui Central,Eastern
45,PCEA Chogoria Mission Hospital,Maara,Eastern
46,Machakos General Hospital,Machakos,Eastern
47,Kathonzweni Catholic Dispensary,Makueni,Eastern
48,Kikoko Mission Hospital,Makueni,Eastern
49,Makueni District Hospital,Makueni,Eastern
50,Tumaini Medical Clinic (Marsabit),Marsabit,Eastern
51,Tawa Rural Health Demonstration Centre (RHDC),Mbooni East,Eastern
52,Moyale District Hospital,Moyale,Eastern
53,Mutomo Mission Hospital,Mutomo,Eastern
54,Mwingi District Hospital,Mwingi,Eastern
55,St. Orsola Hospital,Tharaka South,Eastern
56,Matuu Sub-District Hospital,Yatta,Eastern
57,Ndithini Dispensary,Yatta,Eastern
58,Armed Forces Memorial Hospital,Dagoretti,Nairobi
59,KEMRI (CRDR) FACES Clinic,Dagoretti,Nairobi
60,Kenyatta National  Hospital,Dagoretti,Nairobi
61,Mbagathi District Hospital,Dagoretti,Nairobi
62,Melchizedek Hospital,Dagoretti,Nairobi
63,Nairobi Blood Transfusion Centre,Dagoretti,Nairobi
64,Eastern Deanary AIDS Programme,Embakasi,Nairobi
65,GERTRUDE CHILDREN HOME - EMBAKASI,Embakasi,Nairobi
66,Pumwani Maternity Hospital,Kamukunji - Pumwani,Nairobi
67,SOS Medical Centre - Buru Buru,Kamukunji - Pumwani,Nairobi
68,Baraka Medical Clinic - Mathare 4,Kasarani,Nairobi
69,Mathare North District Hospital - Kasarani,Kasarani,Nairobi
70,St Francis Community Hospital - Kasarani,Kasarani,Nairobi
71,St. Joseph Mukasa Dispensary - Kahawa West,Kasarani,Nairobi
72,Dream VCT Centre,Langata - Kibera,Nairobi
73,Kibera Southland Health Centre,Langata - Kibera,Nairobi
74,St. Mary's Mission Hospital - Langata,Langata - Kibera,Nairobi
75,Lunga Lunga Health Centre (Nairobi),Makadara,Nairobi
76,Mater Hospital,Makadara,Nairobi
77,BEACON OF HOPE,Nairobi,Nairobi
78,NATIONAL HIV REFERENCE LABORATORY,Nairobi,Nairobi
79,Nyumbani Children's Home,Nairobi,Nairobi
80,Mathari Mental Hospital,Starehe,Nairobi
81,STC Casino Clinic,Starehe,Nairobi
82,Amurt Health Centre,Westlands,Nairobi
83,Liverpool and Care VCT Centre,Westlands,Nairobi
84,Garissa Provincial General Hospital,Garissa,North Eastern
85,Bondo District Hospital,Bondo,Nyanza
86,Tabaka Mission Clinic,Gucha South,Nyanza
87,Asumbi Mission Hospital,Homa Bay,Nyanza
88,Homabay District Hospital,Homa Bay,Nyanza
89,Kisii Central District Hospital,Kisii Central,Nyanza
90,Kisumu District Hospital,Kisumu East,Nyanza
91,Lumumba Health Centre,Kisumu East,Nyanza
92,Nyanza Provincial Hospital,Kisumu East,Nyanza
93,Port Florence Clinic,Kisumu East,Nyanza
94,St. Elizabeth Dispensary,Kisumu East,Nyanza
95,Coptic Nursing Home (Maseno),Kisumu West,Nyanza
96,Kombewa District Hospital - Kisumu West,Kisumu West,Nyanza
97,Migori District Hospital,Migori,Nyanza
98,St. Camillus Karungu Mission Hospital,Migori,Nyanza
99,St. Joseph Mission Hospital (Ombo - Migori),Migori,Nyanza
100,Nyamira District Hospital,Nyamira (North Kisii),Nyanza
