Facility Code,Facility Name,Type,Owner,Province,County,District,Division,Location,Sub Location,Constituency,Nearest Town,KEPH Level,Plot Number,Open 24 Hours,Open Weekends,Beds,Cots,Operational Status
17979, Shalom Community Hospital (Athi River),Other Hospital,Private Practice - General Practitioner,Eastern,Machakos,Athi River,Athi River,Mavoko,Mavoko,KATHIANI,Athi River Town,Level 4,,1,1,150,10,Operational
13936, St Joseph's Nyansiongo Health Centre,Health Centre,Kenya Episcopal Conference-Catholic Secretariat,Nyanza,Nyamira,Borabu,Nyansiongo,Nyansiongo,Nyansiongo/Gesima,NORTH MUGIRANGO,Nyansiongo,Level 3,,0,0,26,2,Operational
13220, St Monica Donholm Clinic ,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Nairobi,Nairobi,Embakasi,Embakasi,Savannah,Savannah,EMBAKASI,Nairobi,Level 2,,0,0,0,0,Operational
14180,10 Engineer VCT,Dispensary,Armed Forces,Rift Valley,Laikipia,Laikipia East,Central,Nanyuki,Majengo,LAIKIPIA EAST,Nanyuki,Level 2,,0,0,0,0,Operational
17486,12 Engineers,Dispensary,Ministry of Health,Central,Kiambu,Thika West,,,,JUJA,,Level 2,,0,0,0,0,Operational
18393,3KL Maternity & Nursing Home,Nursing Home,Private Practice - Clinical Officer,Rift Valley,Kajiado,Kajiado North,Ongata Rongai,Gataka,Gataka,KAJIADO NORTH,Ongata Ronga,Level 2,10885 Ongata Rongai,1,1,7,0,Operational
14181,3KR Health Centre,Health Centre,Armed Forces,Rift Valley,Nakuru,Nakuru,Lanet,Lanet,Lanet,NAKURU TOWN,Nakuru Town,Level 3,BARRACKS,1,1,20,12,Operational
11917,78 Tank Battalion Dispensary,Dispensary,Armed Forces,Eastern,Isiolo,Isiolo,Central,East,East,ISIOLO NORTH,Isiolo,Level 2,,1,1,7,2,Operational
13043,7KR MRS Health Centre,Health Centre,Armed Forces,Nairobi,Nairobi,Langata,Lang'ata,Mugumoini,Mugumoini,LANG'ATA,Lang'ata Shopping Center,Level 3,,1,1,14,0,Operational
14182,8th Street Clinic,Medical Clinic,Private Enterprise (Institution),Rift Valley,Kajiado,Kajiado North,Isinya,Isinya,Isinya Township,KAJIADO NORTH,Isinya,Level 2,,0,1,0,0,Operational
18137,A to Z Quality Health Family Health Services ,Medical Clinic,Private Practice - Nurse / Midwife,Rift Valley,Nakuru,Njoro,Njoro,Njoro,Njoro,MOLO,Njoro Centre,Level 2,,0,1,0,0,Operational
17582,A.I.C Ebenezer ,Dispensary,Christian Health Association of Kenya,Rift Valley,Baringo,Baringo Central,Kabarnet,Ngolong,Ngolong,BARINGO CENTRAL,Kabarnet,Level 2,,0,0,0,0,Operational
12861,AAR City Centre Clinic,Medical Clinic,Private Enterprise (Institution),Nairobi,Nairobi,Starehe,Starehe,Central Business District,,STAREHE,Nairobi,Level 2,,0,1,0,0,Operational
16796,AAR Clinic Sarit Centre (Westlands),Medical Clinic,Private Enterprise (Institution),Nairobi,Nairobi,Westlands,Westlands,Parklands,Upper Parklands,WESTLANDS,Nairobi,Level 2,,0,0,0,0,Operational
18178,AAR Eldoret,Medical Clinic,Private Practice - General Practitioner,Rift Valley,Uasin Gishu,Eldoret West,Turbo ,,,ELDORET NORTH,Eldoret,Level 3,,1,1,0,0,Operational
12862,AAR Kariobangi Clinic,Medical Clinic,Private Enterprise (Institution),Nairobi,Nairobi,Kasarani,Kasarani,Kasarani,,KASARANI,Nairobi,Level 2,,0,0,0,0,Operational
11194,AAR Medical Services (Docks),Medical Clinic,Private Enterprise (Institution),Coast,Mombasa,Mvita,Island,Ganjoni,Ganjoni,MVITA,Mombasa,Level 2,,0,0,0,0,Operational
14183,AAR Nakuru Clinic ,Dispensary,Non-Governmental Organizations,Rift Valley,Nakuru,Nakuru,Municipality,Central,Viwanda,NAKURU TOWN,Nakuru Town,Level 2,,0,1,0,0,Operational
11721,AAR Nyali Health Care,Dispensary,Private Enterprise (Institution),Coast,Mombasa,Kisauni,Kisauni,Kongowea,Maweni,KISAUNI,Nakumatt Nyali,Level 2,MN/1/152,1,1,0,0,Operational
12863,AAR Thika Road Clinic,Medical Clinic,Private Enterprise (Institution),Nairobi,Nairobi,Kasarani,Kasarani,Kasarani,,KASARANI,Nairobi,Level 2,,0,0,0,0,Operational
13265,Abakore Sub District Hospital,Sub-District Hospital,Ministry of Health,North Eastern,Wajir,Habaswein,Habaswein,Abakore,Abakore,WAJIR SOUTH,Habaswein,Level 4,,0,0,0,0,Operational
12864,Abandoned Child Care ,Dispensary,Non-Governmental Organizations,Nairobi,Nairobi,Dagoretti,Dagoretti,Uthiru/Ruthimitu,,DAGORETI,Dagoretti Market,Level 2,,0,0,0,0,Operational
12126,ABC Thange Dispensary,Dispensary,Other Faith Based,Eastern,Makueni,Kibwezi,Kibwezi,Utithi,Thange,KIBWEZI,Thange,Level 2,2422,0,0,0,0,Operational
17009,Abdisamad Dispensary,Dispensary,Ministry of Health,North Eastern,Garissa,Garissa,Sankuri,Sankuri,Abdisamad,DUJIS,Abdisamad,Level 2,,0,0,0,0,Operational
10001,Abel Migwi Johana Laboratory,Laboratory (Stand-alone),Private Enterprise (Institution),Central,Kirinyaga,Kirinyaga Central,Ndia,,,NDIA,,Level 2,,0,0,0,0,Operational
10002,Aberdare  Medical & Surgical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Central,Nyeri,Nyeri South,Othaya,Iriani,Gitundu,OTHAYA,Othaya Town,Level 2,,0,0,0,0,Operational
10003,Aberdare Health Services,Medical Clinic,Private Practice - Nurse / Midwife,Central,Murang'a,Kigumo,Kigumo,Kangari,Kangari,KIGUMO,Kangari,Level 2,,0,0,0,0,Not-Operational
13461,Abidha Health Centre,Health Centre,Ministry of Health,Nyanza,Siaya,Rarieda,Rarieda,East Asembo,Omia Mwalo,RARIEDA,Asembo Bay,Level 3,,1,1,16,0,Operational
16716,Able Medical Clinic ,Medical Clinic,Private Practice - Nurse / Midwife,Western,Kakamega,Kakamega East (Shinyalu),Shinyalu,Shibuye,Shing'Odo,SHINYALU,Shinyalu,Level 2,,0,1,0,0,Operational
15789,Aboloi Dispensary,Dispensary,Ministry of Health,Western,Busia,Teso North,Angurai,Aboloi,Akachachata,AMAGORO,Malakisi,Level 2,,0,0,0,0,Operational
10004,Abrahams Clinic,Medical Clinic,Private Enterprise (Institution),Central,Kirinyaga,Kirinyaga Central,Ndia,,,NDIA,Sagana,Level 2,,0,0,0,0,Not-Operational
14184,Acacia Medicare Centre,Medical Clinic,Private Practice - Clinical Officer,Rift Valley,Kajiado,Kajiado North,Ngong,Ngong Town,Township,KAJIADO NORTH,Ngong,Level 2,,0,0,0,0,Operational
12791,Acef Ena Health Centre,Health Centre,Other Faith Based,Eastern,Embu,Embu East,Runyenjes,Kagaari South,Ena,RUNYENJES,Ena,Level 3,E.354/200271,1,1,25,2,Operational
11918,ACK Dispensary (Isiolo),Dispensary,Christian Health Association of Kenya,Eastern,Isiolo,Isiolo,Central,West,Bulapesa,ISIOLO NORTH,Isiolo,Level 2,,0,0,2,0,Operational
17980,ACK Kanunga Dispensary,Dispensary,Christian Health Association of Kenya,Central,Kiambu,Kiambu,Kiambaa,Kianunga,Ngegu,KIAMBAA,Kiambu Town,Level 2,,0,3,0,0,Operational
17473,ACK Tumaini Medical Clinic,Medical Clinic,Christian Health Association of Kenya,Central,Nyeri,Nyeri Central,Nyeri Municipality,Mukaro,Majengo,NYERI TOWN,,Level 2,,0,0,0,0,Operational
11195,Acode Medical Clinic Maungu,Medical Clinic,Private Enterprise (Institution),Coast,Taita Taveta,Voi,Voi,Maungu,Maungu,VOI,Maungu,Level 2,,0,0,0,0,Operational
13266,Adadijolle Dispensary,Dispensary,Ministry of Health,North Eastern,Wajir,Wajir North,Bute,Ogorji,Adadijolle,WAJIR NORTH,Adadijolle,Level 2,,0,0,0,0,Not-Operational
11196,ADC Danisa Dispensary,Dispensary,Non-Governmental Organizations,Coast,Kilifi,Malindi,Lango Baya,Chakama,Kisiki Cha Mgiriama,MALINDI,Lango baya,Level 2,,0,1,0,0,Operational
13267,Ademasajida Dispensary,Dispensary,Ministry of Health,North Eastern,Wajir,Wajir West,Ademasajida,Ademasajida,Ademasajida,WAJIR WEST,Griftu,Level 2,,1,1,0,0,Operational
13463,Adiedo Dispensary ,Dispensary,Ministry of Health,Nyanza,Homa Bay,Rachuonyo North,East Karachuonyo,West Kanyaluo,Komwoyo,KARACHUONYO,Adiedo Market,Level 2,,0,0,4,2,Operational
13464,Administration Police Dispensary (Kisumu East),Dispensary,Ministry of Health,Nyanza,Kisumu,Kisumu East,Winam,Township,Southern,KISUMU TOWN EAST,Kisumu,Level 2,,0,0,0,0,Operational
18171,Administration Police Senior Staff College Dispensary,Dispensary,Ministry of Health,Eastern,Makueni,Nzaui,Emali,Emali,Emali,MAKUENI,Emali,Level 2,,1,1,0,0,Operational
18793,Adora Children Clinic,Medical Clinic,Private Practice - Medical Specialist,Eastern,Machakos,Machakos,Central,Township,Township,MACHAKOS TOWN,Machakos Town,Level 2,,0,1,0,0,Operational
11198,Adu Dispensary,Dispensary,Ministry of Health,Coast,Kilifi,Magarini,Marafa,Adu,Adu,MAGARINI,Malindi,Level 2,,0,0,0,0,Operational
14185,Adurkoit Dispensary,Dispensary,Ministry of Health,Rift Valley,West Pokot,West Pokot,Kongelai,Kanyarkwat,Adurkoit,KAPENGURIA,Kapenguria,Level 2,,0,0,0,0,Operational
18372,Advent Med & Dentist Care Centre,Medical Clinic,Private Practice - General Practitioner,Rift Valley,Nakuru,Nakuru,Nakuru Municipality,Town Centre,CBD,NAKURU TOWN,Nakuru CBD,Level 2,4/29,1,1,0,0,Operational
18535,Adventist Centre for Care and Support(Westlands),VCT Centre (Stand-Alone),Other Faith Based,Nairobi,Nairobi,Westlands,Kilimani,Kilimani,Kilimani,WESTLANDS,Nairobi,Level 2,,0,0,0,0,Operational
18382,Afraha Maternity and Nursing Home,Nursing Home,Private Enterprise (Institution),Rift Valley,Nakuru,Nakuru,Nakuru Munincipal,Bondeni,Afraha ,NAKURU TOWN,Near Nakuru Stadium,Level 3,,1,1,10,6,Operational
13268,Africa Inland Church Dispensary,Dispensary,Christian Health Association of Kenya,North Eastern,Wajir,Wajir East,Central,Wagberi,Wagberi,WAJIR EAST,Wajir Police Line,Level 2,43,1,1,0,0,Operational
12865,Afwan Medical Center,Nursing Home,Private Enterprise (Institution),Nairobi,Nairobi,Kamukunji,Pumwani,Pumwani,Pumwani,KAMUKUNJI,Eastleigh,Level 3,LR36/V11/339,1,1,40,4,Operational
17335,Afwein Dispensary,Dispensary,Ministry of Health,North Eastern,Garissa,Lagdera,shantabak,shantabak,shantabak,LAGDERA,shantabak,Level 2,,0,0,0,0,Operational
17566,Afya  Medical Clinic (Munyaka),Medical Clinic,Private Practice - Nurse / Midwife,Central,Nyandarua,Kinangop,south kinangop,,,KINANGOP,Munyaka,Level 2,,3,3,0,0,Operational
10005,Afya B Clinic (Kibirigwi),Medical Clinic,Private Practice - Nurse / Midwife,Central,Kirinyaga,Kirinyaga Central,Ndia,Kiini,Nguguini,NDIA,Kibirigwi,Level 2,,0,0,0,0,Not-Operational
17577,Afya Bora Clinic,Medical Clinic,Private Practice - General Practitioner,Central,Kirinyaga,Kirinyaga South,Mwea,Thiba,Kiarukungu,MWEA,Ngurubani,Level 2,504,0,1,0,0,Operational
11919,Afya Bora Clinic (Meru South),Medical Clinic,Private Enterprise (Institution),Eastern,Tharaka Nithi,Meru South,Chuka,Kiang'ondu,Township,NITHI,Chuka Town,Level 2,39B2,0,0,0,0,Operational
17819,Afya Bora Clinic (Mutomo),Medical Clinic,Private Practice - Nurse / Midwife,Eastern,Kitui,Mutomo ,Mutomo,Kibwea,Kawelu,KITUI SOUTH,Mutomo Town,Level 2,,0,0,0,0,Operational
10011,Afya Bora Clinic (Mwea),Medical Clinic,Private Enterprise (Institution),Central,Kirinyaga,Kirinyaga South,Mwea,Mutithi,Kabiriri,MWEA,Kandondgu,Level 2,,0,0,0,0,Operational
16411,Afya Bora Medical Clinic,Medical Clinic,Private Enterprise (Institution),Rift Valley,Nakuru,Njoro,Mau-Narok,Mau-Narok,Kianjoya,MOLO,Kianjoya,Level 2,32 kiambogo,0,0,0,0,Operational
16491,Afya Bora Medical Clinic (CFW Clinic Gichugu),Medical Clinic,Private Practice - Nurse / Midwife,Central,Kirinyaga,Kirinyaga North,Gichugu,Njukiini,Kanjuu,GICHUGU,Gathoge,Level 2,19,0,0,0,0,Operational
11200,Afya Bora Medical Clinic (Malindi),Medical Clinic,Private Practice - Nurse / Midwife,Coast,Kilifi,Magarini,Magarini,Fundi Issa,Marereni,MAGARINI,Malindi,Level 2,Marereni,1,1,0,0,Operational
10007,Afya Bora Medical Clinic (Muchagara),Medical Clinic,Private Practice - Nurse / Midwife,Central,Kirinyaga,Kirinyaga East,Gichugu,Karumande,Thumaita,GICHUGU,Muchagara,Level 2,3,0,0,0,0,Operational
10008,Afya Bora Medical Clinic (Nyeri South),Medical Clinic,Private Practice - Clinical Officer,Central,Nyeri,Nyeri Central,Municipality,Mukaro,Ruringu,NYERI TOWN,Ruringu,Level 2,22B,0,1,0,0,Operational
14186,Afya Bora Medical Clinic (Turkana Central),Medical Clinic,Private Practice - Clinical Officer,Rift Valley,Turkana,Turkana Central,Central,Lodwar,Lodwar Town,TURKANA CENTRAL,Lodwar,Level 2,,0,1,0,0,Operational
11201,Afya Clinic,Medical Clinic,Private Enterprise (Institution),Coast,Taita Taveta,Wundanyi,Wundanyi,Wundanyi,Wundanyi,WUNDANYI,Wundanyi,Level 2,34,0,1,0,0,Operational
13269,Afya Clinic (Garissa),Medical Clinic,Private Practice - Clinical Officer,North Eastern,Garissa,Garissa,Central,Central,Central,DUJIS,Garissa,Level 2,,0,0,0,0,Operational
14187,Afya Frank Medical Clinic,Medical Clinic,Private Practice - General Practitioner,Rift Valley,Kajiado,Kajiado Central,Ngong,Nkaimurunya,Kandisi,KAJIADO CENTRAL,Ongata Rongai,Level 2,,0,0,0,0,Operational
18486,Afya Health Care,Dispensary,Private Enterprise (Institution),Nairobi,Nairobi,Kasarani,Kasarani,Githurai,Githurai,KASARANI,"off kamiti rd ,Githurai 44 behind uncle sam near kimsa supermarket  opp Genesis Flats",Level 2,,0,1,0,0,Operational
10009,Afya Health Services,Medical Clinic,Private Practice - Clinical Officer,Central,Nyeri,Mukurweini,Mukurweini,Muhito,Gaturia,MUKURWEINI,Mukurweini Town,Level 2,,0,0,0,0,Operational
18344,Afya house dispensary,Dispensary,Ministry of Health,Nairobi,Nairobi,Dagoretti,KNH Golf Course,Community,Community,DAGORETI,Community,Level 2,Afya House,0,0,0,0,Operational
10015,Afya Medical Clinic ,Medical Clinic,Private Practice - Nurse / Midwife,Central,Kiambu,Thika West,Juja,Juja,Kiaora,JUJA,Gachororo,Level 2,Plot No. 31/Juja township,0,0,0,0,Operational
11920,Afya Medical Clinic (Kangundo),Medical Clinic,Private Enterprise (Institution),Eastern,Machakos,Matungulu,Matungulu,Matungulu ,Matungulu,KANGUNDO,Tala,Level 2,,0,0,0,0,Unknown
10012,Afya Medical Clinic (Kibingoti),Medical Clinic,Private Enterprise (Institution),Central,Kirinyaga,Kirinyaga Central,Ndia,Kiini North,Kibingoti,NDIA,Kibingoti,Level 2,,0,0,0,0,Not-Operational
10006,Afya Medical Clinic (Kirinyaga),Medical Clinic,Private Enterprise (Institution),Central,Kirinyaga,Kirinyaga South,Mwea,Tebere,Kiarukungu,MWEA,Wanguru,Level 2,lock 65 Wanguru,0,0,0,0,Operational
10010,Afya Medical Clinic (Muranga North),Medical Clinic,Private Practice - Nurse / Midwife,Central,Murang'a,Mathioya,Kangema,Rwathia,Kihoya,MATHIOYA,Kihoya,Level 2,,0,0,0,0,Operational
18440,Afya Medical Clinic (Nakuru),Medical Clinic,Private Practice - Nurse / Midwife,Rift Valley,Nakuru,Nakuru,Nakuru Municipality,Bondeni,Manyani,NAKURU TOWN,Near Flamingo Nursery School,Level 2,,0,1,0,0,Operational
10013,Afya Medical Clinic (Nyeri North),Medical Clinic,Private Practice - Clinical Officer,Central,Nyeri,Mathira East,Mathira,Konyu,Karatina,MATHIRA,Karatina,Level 2,,0,0,0,0,Operational
10014,Afya Medical Clinic (Nyeri South),Medical Clinic,Private Practice - Nurse / Midwife,Central,Nyeri,Mukurweini,Mukurweini,Rutune,Ngamwa,MUKURWEINI,Ngamwa,Level 2,,0,0,0,0,Operational
13270,Afya Medical Clinic (Wajir East),Medical Clinic,Private Enterprise (Institution),North Eastern,Wajir,Wajir East,Central,Township,Township,WAJIR EAST,Wajir,Level 2,,0,1,0,0,Operational
18730,Afya Medical Clinic(Meru),Medical Clinic,Private Practice - Unspecified,Eastern,Meru,Imenti North,Miriga Mieru West,Ntima/Ntakira,,NORTH IMENTI,,Level 2,3774,2,2,0,0,Operational
12866,Afya Medical Health Centre,Health Centre,Private Enterprise (Institution),Nairobi,Nairobi,Dagoretti,Dagoretti,Golfcourse,,DAGORETI,Nairobi,Level 2,,0,0,0,0,Operational
13271,Afya Medicare Clinic (Wajir East),Medical Clinic,Private Enterprise (Institution),North Eastern,Wajir,Wajir East,Central,Township,Township,WAJIR EAST,Wajir,Level 2,,0,0,0,0,Operational
11921,Afya Njema Clinic,Medical Clinic,Private Enterprise (Institution),Eastern,Machakos,Athi River,Athi River,Athi River,Mavoko,KATHIANI,mavoko,Level 2,,0,0,0,0,Operational
14188,Afya Njema Medical Clinic,Medical Clinic,Private Enterprise (Institution),Rift Valley,Nakuru,Rongai,Rongai,Rongai,Rongai,RONGAI,Rongai,Level 2,,0,0,0,0,Operational
18021,Afya Njema Medical Clinic (Nyeri North),Medical Clinic,Private Practice - Clinical Officer,Central,Nyeri,Kieni East,Kieni East,Narumoru,Narumoru,KIENI,Narumoru,Level 2,,0,0,0,0,Operational
18428,Afya Nursing Home (Moyale),Nursing Home,Private Practice - Clinical Officer,Eastern,Marsabit,Moyale,Central,Central,Central,MOYALE,Moyale,Level 3,68,1,1,20,4,Operational
18223,Aga Khan Clinic Kitengela,Medical Clinic,Private Practice - General Practitioner,Rift Valley,Kajiado,Kajiado North,Kitengela,Noonkopir,Noonkopir,KAJIADO NORTH,Kitengela,Level 2,,0,0,0,0,Operational
12867,Aga Khan Hospital,Other Hospital,Private Enterprise (Institution),Nairobi,Nairobi,Westlands,Westlands,Parklands,,WESTLANDS,,Level 5,,1,1,243,0,Operational
13465,Aga Khan Hospital (Kisumu),Other Hospital,Private Enterprise (Institution),Nyanza,Kisumu,Kisumu East,Winam,Township,Southern,KISUMU TOWN EAST,Kisumu,Level 4,,1,1,56,9,Operational
11203,Aga Khan Hospital (Mombasa),Other Hospital,Private Enterprise (Institution),Coast,Mombasa,Mvita,Island,Ganjoni,Kizingo,MVITA,Mombasa,Level 4,,1,1,89,0,Operational
12868,Aga Khan University Hospital (Buruburu),Dispensary,Private Enterprise (Institution),Nairobi,Nairobi,Makadara,Makadara,Makadara,Harambee,MAKADARA,Nairobi,Level 2,,0,1,0,0,Operational
17857,Aga Khan University Hospital- Nyeri Medical Center,Health Centre,Private Enterprise (Institution),Central,Nyeri,Nyeri Central,Municipality,Mukaro,majengo,NYERI TOWN,Nyeri Town,Level 3,3/16,0,3,0,0,Operational
14189,Aga Khan University Hospital O/R Clinic,Medical Clinic,Private Practice - General Practitioner,Rift Valley,Kajiado,Kajiado Central,Ngong,Nkaimurunya,Kandisi,KAJIADO CENTRAL,Ongata Rongai,Level 2,,0,0,0,0,Operational
10016,Agape Medical Services,Medical Clinic,Private Practice - Nurse / Midwife,Central,Murang'a,Kigumo,Kigumo,Kangari,Mariira,KIGUMO,Karinga,Level 2,,0,0,0,0,Not-Operational
13466,Agawo Dispensary ,Dispensary,Ministry of Health,Nyanza,Homa Bay,Rachuonyo South,Kasipul,East Kamagak,Kachieng,KASIPUL/KABONDO,Sikri,Level 2,,0,0,0,0,Operational
14190,AGC Baby Health Centre,Health Centre,Other Faith Based,Rift Valley,Nakuru,Rongai,Ngata,Ngata,Ngata,NAKURU TOWN,Nakuru Town,Level 2,,0,0,0,0,Operational
13467,Agenga Dispensary ,Dispensary,Ministry of Health,Nyanza,Migori,Nyatike,Nyatike,Central Kadem,Kanyor West,NYATIKE,Agenga,Level 2,,1,1,2,0,Operational
15790,Agenga Dispensary (Samia),Dispensary,Ministry of Health,Western,Busia,Samia,Funyula,Agenga,Agenga,FUNYULA,Mulukhoni Market,Level 2,,0,0,0,0,Operational
16452,Agma Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Western,Vihiga,Hamisi,Shaviringa,Shaviringa,Shiru,HAMISI,Shiru ,Level 2,,0,0,0,0,Operational
10017,Aguthi Dispensary,Dispensary,Ministry of Health,Central,Nyeri,Tetu,Tetu,Aguthi,Gititu,TETU,Gititu,Level 2,,0,0,0,0,Operational
10018,Ahadi Maternity Dispensary,Dispensary,Private Practice - Nurse / Midwife,Central,Kiambu,Lari,Lari,Lari,Lari,LARI,Lari,Level 2,,1,1,6,0,Operational
16516,Ahadi Medical clinic,Medical Clinic,Private Practice - Nurse / Midwife,Coast,Kilifi,Kaloleni,Mariakani,Mariakani,Mariakani,KALOLENI,Mariakani,Level 2,,0,0,0,0,Operational
